date,sleeve_value,cash_bucket,total_equity,leverage_state
1996-05-28,97.0,0.0,97.0,3.0
1996-05-29,94.1087806634818,0.0,94.1087806634818,0.0
1996-05-30,94.02185668829131,0.0,94.02185668829131,3.0
1996-05-31,91.21944122770205,0.0,91.21944122770205,0.0
1996-06-03,87.22873544610167,0.0,87.22873544610167,3.0
1996-06-04,84.6289300616999,0.0,84.6289300616999,0.0
1996-06-05,84.42885047502641,0.0,84.42885047502641,3.0
1996-06-06,81.91246165354583,0.0,81.91246165354583,0.0
1996-06-07,80.94868783024263,0.0,80.94868783024263,3.0
1996-06-10,78.53624282856156,0.0,78.53624282856156,0.0
1996-06-11,76.83587418709153,0.0,76.83587418709153,3.0
1996-06-12,74.54594072644042,0.0,74.54594072644042,0.0
1996-06-13,70.6048238722881,0.0,70.6048238722881,3.0
1996-06-14,68.5004580241781,0.0,68.5004580241781,0.0
1996-06-17,65.62147972291241,0.0,65.62147972291241,3.0
1996-06-18,63.665641675909804,0.0,63.665641675909804,0.0
1996-06-19,62.182024637867244,0.0,62.182024637867244,3.0
1996-06-20,60.32881869239229,0.0,60.32881869239229,0.0
1996-06-21,60.598149321248634,0.0,60.598149321248634,3.0
1996-06-24,58.79214748613745,0.0,58.79214748613745,0.0
1996-06-25,54.66185871340306,0.0,54.66185871340306,3.0
1996-06-26,52.55897036884326,0.0,52.55897036884326,3.0
1996-06-27,55.22424342500487,0.0,55.22424342500487,3.0
1996-06-28,56.7009204815144,0.0,56.7009204815144,3.0
1996-07-01,59.090809265742365,0.0,59.090809265742365,3.0
1996-07-02,57.26248499343151,0.0,57.26248499343151,3.0
1996-07-03,55.61997425499485,0.0,55.61997425499485,3.0
1996-07-05,51.49397593248598,0.0,51.49397593248598,3.0
1996-07-08,51.071985152886235,0.0,51.071985152886235,3.0
1996-07-09,52.14950731220719,0.0,52.14950731220719,3.0
1996-07-10,51.335319450474806,0.0,51.335319450474806,3.0
1996-07-11,46.0656138389211,0.0,46.0656138389211,3.0
1996-07-12,45.885335227992236,0.0,45.885335227992236,3.0
1996-07-15,44.51787121069121,0.0,44.51787121069121,0.0
